date,cantine_id,type_cantine,jour_semaine,mois,semaine_annee,vacances,jour_ferie,nb_inscrits,nb_absents_prevus,menu_type,viande,poisson,vegetarien,dessert_populaire,temperature,pluie,evenement_special,stock_disponible_kg,quantite_produite_kg,nb_repas_consommés,portion_moyenne_kg,quantite_consommee_kg,gaspillage_kg,gaspillage_pct
2025-03-12,1,scolaire,Mercredi,3,11,0,0,451,24,pates,1,0,0,1,11.218704492743266,1,0,232.00646369419115,235.20780702617148,442,0.5136751481531284,227.04441548368277,9.83006670374608,0.041793114046815176
2025-03-12,2,entreprise,Mercredi,3,11,0,0,240,24,pates,1,0,0,1,11.218704492743266,1,0,124.13408094325484,128.61306974274464,227,0.5428141507423353,123.21881221851011,6.564301977642781,0.05103915170342234
2025-03-13,1,scolaire,Jeudi,3,11,0,0,474,34,vegetarien,0,0,1,1,10.165056370004201,1,0,262.3753882669689,240.07235542391064,439,0.5273088812872816,231.48859888511663,9.539907528963237,0.039737634564871206
2025-03-13,2,entreprise,Jeudi,3,11,0,0,236,15,vegetarien,0,0,1,1,10.165056370004201,1,0,114.32948428300715,131.0072117320874,221,0.5825794458544179,128.75005753382635,3.847509870955869,0.02936868757136905
2025-03-14,1,scolaire,Vendredi,3,11,0,0,470,39,standard,1,0,0,0,12.656054979015078,0,0,236.42844722087239,228.31399213100104,402,0.5243737719345802,210.79825631770126,18.756283254993118,0.0821512649309343
2025-03-14,2,entreprise,Vendredi,3,11,0,0,242,22,standard,1,0,0,0,12.656054979015078,0,0,108.68534891010837,118.55302109884195,192,0.553606575672854,106.29246252918796,14.357523356394632,0.12110634738210715
2025-03-15,1,scolaire,Samedi,3,11,0,0,483,34,poisson,0,1,0,1,8.804405236292544,0,0,1.3155855380824253,0.0,3,0.5358669447039985,1.6076008341119956,1.085217405071031,0.0
2025-03-15,2,entreprise,Samedi,3,11,0,0,231,8,poisson,0,1,0,1,8.804405236292544,0,0,4.867803078120945,0.0,0,0.5699432148810754,0.0,1.2951238146460284,0.0
2025-03-16,1,scolaire,Dimanche,3,11,0,0,475,34,standard,1,0,0,0,12.704327997543876,1,0,3.9959026959795207,0.0,0,0.5297394496157116,0.0,1.4679187056179663,0.0
2025-03-16,2,entreprise,Dimanche,3,11,0,0,245,19,standard,1,0,0,0,12.704327997543876,1,0,0.0,0.0,0,0.5584056357818721,0.0,0.6016519034391109,0.0
